area_sqft,floors,city,property_type,quality,bricks,cement_bags,sand_cft,steel_kg,water_litres,pop_kg,paint_litres,tiles_sqft,aggregate_cft,labour_days,working_days,total_cost_inr
1000,3,bangalore,residential,basic,107401,1564,6222,15585,144136,1630,755,1092,4257,2908,375,6539178
4250,2,ahmedabad,commercial,premium,542304,8293,30638,72020,360276,7730,4105,2988,16372,11921,1633,26904323
3600,3,bangalore,residential,standard,518969,7097,25827,70304,521049,7075,3904,3945,18076,11746,1482,29618735
4850,1,pune,residential,standard,200555,2939,11487,29793,202939,3992,1687,1970,8340,4729,719,12914119
2400,2,mumbai,residential,basic,190651,3332,10055,27254,227575,3447,1526,1816,7245,5301,571,11592595
2200,2,ahmedabad,residential,standard,161087,2347,7700,16888,181088,3332,1443,1916,6115,3253,651,9679933
2300,4,delhi,commercial,standard,531872,8637,30519,61618,441573,6693,3282,3850,19755,13231,1412,25123074
4800,3,kolkata,residential,standard,516657,8066,31138,69628,665554,13749,5393,5059,21574,12158,2182,31172745
450,4,delhi,commercial,premium,144685,2060,8720,20511,83124,1869,871,641,4631,3132,385,7078711
4850,4,hyderabad,commercial,standard,1080630,16868,59492,117654,922730,16619,6206,7081,37269,26008,2822,48202789
3600,1,kolkata,residential,standard,138443,2020,6394,14286,166659,2969,1143,1276,4907,3145,583,8028458
4600,1,mumbai,commercial,premium,441005,7293,21476,48608,206476,4749,2073,1709,14043,9936,1040,22689653
600,1,kolkata,residential,standard,22552,311,1171,3219,29742,534,191,263,881,483,91,1330643
4700,1,ahmedabad,commercial,basic,171561,2549,8347,24008,197962,3422,1338,1861,5379,3652,547,7252583
1200,2,hyderabad,residential,standard,100240,1434,5682,13760,97500,1931,814,954,3385,2124,356,5992254
1200,4,lucknow,residential,standard,157160,2175,7471,16191,209691,4648,1538,1886,5278,3402,718,9335876
4550,2,bangalore,residential,premium,598861,9207,33359,87433,424743,11426,4524,3830,19708,14393,1955,39622322
3400,1,delhi,industrial,basic,93939,1343,5414,13170,137289,1751,894,1220,3995,2640,374,6827036
3550,2,ahmedabad,residential,standard,228969,3889,13601,33276,294110,6580,2451,2787,7562,6328,1106,14572924
450,3,ahmedabad,commercial,standard,55311,900,3173,8866,54198,995,425,546,1939,1579,186,2866832
1350,2,hyderabad,residential,standard,106581,1771,6243,13587,112215,2220,988,1197,3701,2902,365,6809507
2100,4,hyderabad,industrial,standard,278231,3948,15074,30053,385886,6234,3191,3350,8951,6495,1141,21250755
2400,3,kolkata,residential,standard,254538,4260,13521,29297,341122,5563,2366,2835,8211,5778,1137,15236855
2550,1,chennai,residential,standard,107512,1671,6075,16046,121187,1940,856,1048,4582,2640,419,6303370
1150,3,bangalore,residential,standard,163253,2214,8362,20193,139455,2502,1265,1241,5846,3991,479,10018733
1800,3,lucknow,residential,basic,143351,2061,7660,15820,254023,3629,1519,2011,4840,3258,595,7448089
3800,5,delhi,residential,standard,869039,13792,46027,100163,926708,17080,6105,7076,27391,21728,2709,51077208
2550,3,hyderabad,residential,standard,311553,5014,16991,39576,341528,7572,2669,3069,9772,7501,1188,18228667
4050,2,kolkata,residential,standard,293254,4075,16756,38817,383364,6122,2996,3186,11926,6781,1173,17495983
1850,3,ahmedabad,residential,standard,197958,3107,10225,25942,247072,4825,1953,2314,6772,5011,845,12024997
4350,1,chennai,commercial,standard,241522,3581,14611,31100,183849,3359,1372,1593,10012,5607,605,10917783
3950,2,mumbai,residential,standard,426228,5757,23649,61372,364867,7146,2527,3134,17257,9043,1191,24618287
