id,query,expected_behavior,reply,verdict,logical,verdict_summary,analysis,mode,city,category_detected,machines_count,reply_language,intent_match,response_relevance,language_match,result_quality,helpfulness,overall_quality,llm_judge_overall,optimize,issues,optimization_hints,structural_pass
greet_hi,hi,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_hello,hello,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,88,95,85,75,91,,False,,,True
greet_hey,hey,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_good_morning,good morning,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_namaste,namaste,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_hello_there,hello there,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,88,95,85,75,91,,False,,,True
greet_hii,hii,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_helo,helo,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_hi_there,hi there,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_good_evening,good evening,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_hey_there,hey there,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
greet_hola,hola,Welcome user and ask machine type + city (no machine list),Hello! How can I help? Tell me the machine type and city.,RELEVANT,True,Correct greeting response,Expected: Welcome user and ask machine type + city (no machine list),greeting,,,0,english,100,85,95,85,75,90,,False,,,True
search_000,excavator in delhi,Show relevant excavator machines in Delhi with prices/details,"Here is 1 Excavator in Delhi:

1. Caterpillar 320D (excavator), Caterpillar 320D, — Delhi, ₹12,000/day, available, rating 4.5/5
Best match: Caterpillar 320D (excavator) in Delhi — ₹12,000/day, available, condition n/a , rating 4.5/5. Compare availability, condition, manufacturing year, and deposit before booking.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): Caterpillar 320D · Expected: Show relevant excavator machines in Delhi with prices/details,search,delhi,excavator,1,english,100,100,95,84,85,95,,False,,,True
search_001,excavator in jaipur,Show relevant excavator machines in Jaipur with prices/details,"No exact Excavator found in Jaipur. No Excavator in Jaipur. Showing similar machines available in Jaipur.

1. EPIROC AIR ROC D-35(LM-100) Pneumatic (CRAWLER DRILL), EPIROC AIR ROC D-35(LM-100), — Jaipur, ₹400/daily, available, used 2022, rating not available

These are alternatives, not exact matches for your request.
I could not find the exact requested Excavator. The machines shown are the closest alternatives — compare price, availability, condition, year, and city before deciding.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): EPIROC AIR ROC D-35(LM-100) Pneumatic · Expected: Show relevant excavator machines in Jaipur with prices/details,no_result,jaipur,excavator,1,english,100,100,95,84,85,95,,False,,,True
search_002,excavator in mumbai,Show relevant excavator machines in Mumbai with prices/details,"No exact Excavator found in Mumbai. Similar categories: JCB / Backhoe Loader, Crawler Drill, Bulldozer. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant excavator machines in Mumbai with prices/details,no_result,mumbai,excavator,0,english,100,100,95,85,90,96,,False,,,True
search_003,excavator in pune,Show relevant excavator machines in Pune with prices/details,"Here is 1 Excavator in Pune:

1. Komatsu PC210 (excavator), Komatsu PC210, — Pune, ₹24,000/day, available, rating 4.0/5
Best match: Komatsu PC210 (excavator) in Pune — ₹24,000/day, available, condition n/a , rating 4.0/5. Compare availability, condition, manufacturing year, and deposit before booking.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): Komatsu PC210 · Expected: Show relevant excavator machines in Pune with prices/details,search,pune,excavator,1,english,100,100,95,84,85,95,,False,,,True
search_004,excavator in bangalore,Show relevant excavator machines in Bangalore with prices/details,"No exact Excavator found in Bangalore. Similar categories: JCB / Backhoe Loader, Crawler Drill, Bulldozer. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant excavator machines in Bangalore with prices/details,no_result,bangalore,excavator,0,english,100,100,95,85,90,96,,False,,,True
search_005,excavator in chennai,Show relevant excavator machines in Chennai with prices/details,"Here is 1 Excavator in Chennai:

1. Hyundai R210 (excavator), Hyundai R210, — Chennai, ₹12,000/day, available, rating 4.0/5
Best match: Hyundai R210 (excavator) in Chennai — ₹12,000/day, available, condition n/a , rating 4.0/5. Compare availability, condition, manufacturing year, and deposit before booking.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): Hyundai R210 · Expected: Show relevant excavator machines in Chennai with prices/details,search,chennai,excavator,1,english,100,100,95,84,85,95,,False,,,True
search_006,excavator in hyderabad,Show relevant excavator machines in Hyderabad with prices/details,"No exact Excavator found in Hyderabad. Similar categories: JCB / Backhoe Loader, Crawler Drill, Bulldozer. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant excavator machines in Hyderabad with prices/details,no_result,hyderabad,excavator,0,english,100,100,95,85,90,96,,False,,,True
search_007,excavator in kolkata,Show relevant excavator machines in Kolkata with prices/details,"No exact Excavator found in Kolkata. Similar categories: JCB / Backhoe Loader, Crawler Drill, Bulldozer. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant excavator machines in Kolkata with prices/details,no_result,kolkata,excavator,0,english,100,100,95,85,90,96,,False,,,True
search_008,excavator in ahmedabad,Show relevant excavator machines in Ahmedabad with prices/details,"No exact Excavator found in Ahmedabad. Similar categories: JCB / Backhoe Loader, Crawler Drill, Bulldozer. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant excavator machines in Ahmedabad with prices/details,no_result,ahmedabad,excavator,0,english,100,100,95,85,90,96,,False,,,True
search_009,crane in jaipur,Show relevant crane machines in Jaipur with prices/details,"No exact Crane found in Jaipur. Similar categories: Hydra Crane, Truck Mounted Crane. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant crane machines in Jaipur with prices/details,no_result,jaipur,crane,0,english,100,100,95,85,90,96,,False,,,True
search_010,crane in delhi,Show relevant crane machines in Delhi with prices/details,"Here is 1 Crane in Delhi:

1. Liebherr LTM 1100 (crane), Liebherr LTM 1100, — Delhi, ₹12,000/day, available, rating 4.5/5
Best match: Liebherr LTM 1100 (crane) in Delhi — ₹12,000/day, available, condition n/a , rating 4.5/5. Compare availability, condition, manufacturing year, and deposit before booking.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): Liebherr LTM 1100 · Expected: Show relevant crane machines in Delhi with prices/details,search,delhi,crane,1,english,100,100,95,84,85,95,,False,,,True
search_011,crane in mumbai,Show relevant crane machines in Mumbai with prices/details,"No exact Crane found in Mumbai. Similar categories: Hydra Crane, Truck Mounted Crane. Tell me what work you need it for, or try another machine type in the same city.",RELEVANT,True,Correct search response for category + city,Expected: Show relevant crane machines in Mumbai with prices/details,no_result,mumbai,crane,0,english,100,100,95,85,90,96,,False,,,True
search_012,hydra crane in delhi,Show relevant hydra crane machines in Delhi with prices/details,"Here is 1 Hydra Crane in Delhi:

1. ACE FX 150 (hydra crane), ACE FX 150, — Delhi, ₹12,000/day, available, rating 4.5/5
Best match: ACE FX 150 (hydra crane) in Delhi — ₹12,000/day, available, condition n/a , rating 4.5/5. Compare availability, condition, manufacturing year, and deposit before booking.",RELEVANT,True,Correct search response for category + city,Returned 1 machine(s): ACE FX 150 · Expected: Show relevant hydra crane machines in Delhi with prices/details,search,delhi,hydra crane,1,english,100,100,95,84,85,95,,False,,,True
